"Activity" "Subject" "SensorLocation" "AggregationMethod" "mean(value)"
"LAYING" "Test" "fBodyAcc" "mean()" -0.967061854053383
"LAYING" "Test" "fBodyAcc" "std()" -0.962400245351955
"LAYING" "Test" "fBodyAccJerk" "mean()" -0.976761729851024
"LAYING" "Test" "fBodyAccJerk" "std()" -0.978983001260087
"LAYING" "Test" "fBodyAccMag" "mean()" -0.957424189783985
"LAYING" "Test" "fBodyAccMag" "std()" -0.953138504479888
"LAYING" "Test" "fBodyBodyAccJerkMag" "mean()" -0.974611609068901
"LAYING" "Test" "fBodyBodyAccJerkMag" "std()" -0.973586610782123
"LAYING" "Test" "fBodyBodyGyroJerkMag" "mean()" -0.976359034581006
"LAYING" "Test" "fBodyBodyGyroJerkMag" "std()" -0.975401442439479
"LAYING" "Test" "fBodyBodyGyroMag" "mean()" -0.957813942756052
"LAYING" "Test" "fBodyBodyGyroMag" "std()" -0.95021154301676
"LAYING" "Test" "fBodyGyro" "mean()" -0.967929626554935
"LAYING" "Test" "fBodyGyro" "std()" -0.969854320639354
"LAYING" "Test" "tBodyAcc" "mean()" 0.046948990017455
"LAYING" "Test" "tBodyAcc" "std()" -0.962879578969584
"LAYING" "Test" "tBodyAccJerk" "mean()" 0.0298773683955332
"LAYING" "Test" "tBodyAccJerk" "std()" -0.977461078361266
"LAYING" "Test" "tBodyAccJerkMag" "mean()" -0.979577853575419
"LAYING" "Test" "tBodyAccJerkMag" "std()" -0.974610375400372
"LAYING" "Test" "tBodyAccMag" "mean()" -0.961578850614525
"LAYING" "Test" "tBodyAccMag" "std()" -0.949805818519553
"LAYING" "Test" "tBodyGyro" "mean()" 0.00264982883790937
"LAYING" "Test" "tBodyGyro" "std()" -0.968688725456238
"LAYING" "Test" "tBodyGyroJerk" "mean()" -0.067645607023712
"LAYING" "Test" "tBodyGyroJerk" "std()" -0.980343392526381
"LAYING" "Test" "tBodyGyroJerkMag" "mean()" -0.981573659888268
"LAYING" "Test" "tBodyGyroJerkMag" "std()" -0.975261643500931
"LAYING" "Test" "tBodyGyroMag" "mean()" -0.945435104413408
"LAYING" "Test" "tBodyGyroMag" "std()" -0.94755611895717
"LAYING" "Test" "tGravityAcc" "mean()" 0.237243540661701
"LAYING" "Test" "tGravityAcc" "std()" -0.966870712291124
"LAYING" "Test" "tGravityAccMag" "mean()" -0.961578850614525
"LAYING" "Test" "tGravityAccMag" "std()" -0.949805818519553
"LAYING" "Train" "fBodyAcc" "mean()" -0.957078392118692
"LAYING" "Train" "fBodyAcc" "std()" -0.94394828485648
"LAYING" "Train" "fBodyAccJerk" "mean()" -0.975799458924426
"LAYING" "Train" "fBodyAccJerk" "std()" -0.978768269673063
"LAYING" "Train" "fBodyAccMag" "mean()" -0.943950932251599
"LAYING" "Train" "fBodyAccMag" "std()" -0.927962071920256
"LAYING" "Train" "fBodyBodyAccJerkMag" "mean()" -0.9741812297086
"LAYING" "Train" "fBodyBodyAccJerkMag" "std()" -0.97302950880597
"LAYING" "Train" "fBodyBodyGyroJerkMag" "mean()" -0.978582414975124
"LAYING" "Train" "fBodyBodyGyroJerkMag" "std()" -0.977124064577114
"LAYING" "Train" "fBodyBodyGyroMag" "mean()" -0.953724931549396
"LAYING" "Train" "fBodyBodyGyroMag" "std()" -0.939025835269367
"LAYING" "Train" "fBodyGyro" "mean()" -0.9637351910991
"LAYING" "Train" "fBodyGyro" "std()" -0.964454303854537
"LAYING" "Train" "tBodyAcc" "mean()" 0.0478923498250415
"LAYING" "Train" "tBodyAcc" "std()" -0.9462398203448
"LAYING" "Train" "tBodyAccJerk" "mean()" 0.0291993733022015
"LAYING" "Train" "tBodyAccJerk" "std()" -0.976826773911395
"LAYING" "Train" "tBodyAccJerkMag" "mean()" -0.979067883653163
"LAYING" "Train" "tBodyAccJerkMag" "std()" -0.974099433837953
"LAYING" "Train" "tBodyAccMag" "mean()" -0.933298701817342
"LAYING" "Train" "tBodyAccMag" "std()" -0.925425270312722
"LAYING" "Train" "tBodyGyro" "mean()" 0.00624197056900299
"LAYING" "Train" "tBodyGyro" "std()" -0.96340522444942
"LAYING" "Train" "tBodyGyroJerk" "mean()" -0.0680948241312222
"LAYING" "Train" "tBodyGyroJerk" "std()" -0.980504928898365
"LAYING" "Train" "tBodyGyroJerkMag" "mean()" -0.983166670739161
"LAYING" "Train" "tBodyGyroJerkMag" "std()" -0.977324912189055
"LAYING" "Train" "tBodyGyroMag" "mean()" -0.935764661371713
"LAYING" "Train" "tBodyGyroMag" "std()" -0.937939730744847
"LAYING" "Train" "tGravityAcc" "mean()" 0.279214266314665
"LAYING" "Train" "tGravityAcc" "std()" -0.947420590012106
"LAYING" "Train" "tGravityAccMag" "mean()" -0.933298701817342
"LAYING" "Train" "tGravityAccMag" "std()" -0.925425270312722
"SITTING" "Test" "fBodyAcc" "mean()" -0.961407405955193
"SITTING" "Test" "fBodyAcc" "std()" -0.948860656184793
"SITTING" "Test" "fBodyAccJerk" "mean()" -0.978165139069925
"SITTING" "Test" "fBodyAccJerk" "std()" -0.980702607820774
"SITTING" "Test" "fBodyAccMag" "mean()" -0.951721972551935
"SITTING" "Test" "fBodyAccMag" "std()" -0.94208825496945
"SITTING" "Test" "fBodyBodyAccJerkMag" "mean()" -0.977173862342159
"SITTING" "Test" "fBodyBodyAccJerkMag" "std()" -0.976917733543788
"SITTING" "Test" "fBodyBodyGyroJerkMag" "mean()" -0.984435176130346
"SITTING" "Test" "fBodyBodyGyroJerkMag" "std()" -0.98400311509165
"SITTING" "Test" "fBodyBodyGyroMag" "mean()" -0.964803846456212
"SITTING" "Test" "fBodyBodyGyroMag" "std()" -0.95254545598778
"SITTING" "Test" "fBodyGyro" "mean()" -0.969544854168364
"SITTING" "Test" "fBodyGyro" "std()" -0.968601676795655
"SITTING" "Test" "tBodyAcc" "mean()" 0.0517288997134216
"SITTING" "Test" "tBodyAcc" "std()" -0.951018666256619
"SITTING" "Test" "tBodyAccJerk" "mean()" 0.0257607027751821
"SITTING" "Test" "tBodyAccJerk" "std()" -0.979044330190088
"SITTING" "Test" "tBodyAccJerkMag" "mean()" -0.981076791425662
"SITTING" "Test" "tBodyAccJerkMag" "std()" -0.977510406741344
"SITTING" "Test" "tBodyAccMag" "mean()" -0.953534394704684
"SITTING" "Test" "tBodyAccMag" "std()" -0.9392153100611
"SITTING" "Test" "tBodyGyro" "mean()" -0.0114626274879633
"SITTING" "Test" "tBodyGyro" "std()" -0.967948365668703
"SITTING" "Test" "tBodyGyroJerk" "mean()" -0.0618221283371487
"SITTING" "Test" "tBodyGyroJerk" "std()" -0.98412372706721
"SITTING" "Test" "tBodyGyroJerkMag" "mean()" -0.986915690997963
